date,power
04-08-18 14:45,541400.5
04-08-18 15:00,530853.5
04-08-18 15:15,503707.47
04-08-18 15:30,477250.78
04-08-18 15:45,535061.2
04-08-18 16:00,505612.97
04-08-18 16:15,519254.66
04-08-18 16:30,522064.4
04-08-18 16:45,472516.03
04-08-18 17:00,458037.3
04-08-18 17:15,447519.3
04-08-18 17:30,454773.2
04-08-18 17:45,502220.78
04-08-18 18:00,480044.03
04-08-18 18:15,460533.47
04-08-18 18:30,434255.66
04-08-18 18:45,412569.88
04-08-18 19:00,364366.7
04-08-18 19:15,355070.53
04-08-18 19:30,340549.1
04-08-18 19:45,352744.66
04-08-18 20:00,321780.03
04-08-18 20:15,358703.25
04-08-18 20:30,326118.72
04-08-18 20:45,309576.56
04-08-18 21:00,319707.66
04-08-18 21:15,290563.78
04-08-18 21:30,294784.56
04-08-18 21:45,285534
04-08-18 22:00,263881.56
04-08-18 22:15,235593.8
04-08-18 22:30,245378.33
04-08-18 22:45,230660.34
04-08-18 23:00,230967.08
04-08-18 23:15,224100.98
04-08-18 23:30,222233.78
04-08-18 23:45,241089.31
05-08-18 0:00,234117.66
05-08-18 0:15,220787.25
05-08-18 0:30,216613.6
05-08-18 0:45,211850.73
05-08-18 1:00,220327.16
05-08-18 1:15,222230.14
05-08-18 1:30,214801.4
05-08-18 1:45,223569.33
05-08-18 2:00,218976.4
05-08-18 2:15,210633.42
05-08-18 2:30,230345.11
05-08-18 2:45,230823.97
05-08-18 3:00,216231.06
05-08-18 3:15,224729.72
05-08-18 3:30,232560.27
05-08-18 3:45,226074.84
05-08-18 4:00,230922.25
05-08-18 4:15,235184.25
05-08-18 4:30,240245.48
05-08-18 4:45,237112.89
05-08-18 5:00,250910.98
05-08-18 5:15,327108.9
05-08-18 5:30,449468.7
05-08-18 5:45,421373
05-08-18 6:00,356715.06
05-08-18 6:15,328834.28
05-08-18 6:30,380565.75
05-08-18 6:45,398679.53
05-08-18 7:00,444579.66
05-08-18 7:15,476048.28
05-08-18 7:30,513979
05-08-18 7:45,488583.47
05-08-18 8:00,528802
05-08-18 8:15,563457.5
05-08-18 8:30,608209.5
05-08-18 8:45,552335.25
05-08-18 9:00,548936.7
05-08-18 9:15,539199.75
05-08-18 9:30,619878.2
05-08-18 9:45,649680.75
05-08-18 10:00,581473
05-08-18 10:15,596069.4
05-08-18 10:30,584307.44
05-08-18 10:45,588324.75
05-08-18 11:00,638880.3
05-08-18 11:15,615736
05-08-18 11:30,589681.9
05-08-18 11:45,651002.5
05-08-18 12:00,552450.1
05-08-18 12:15,574301.06
05-08-18 12:30,573208.44
05-08-18 12:45,543861.25
05-08-18 13:00,544397.44
05-08-18 13:15,521160.4
05-08-18 13:30,526239.4
05-08-18 13:45,518870.5
05-08-18 14:00,481076.06
05-08-18 14:15,466717.97
